fips,population,area,density
20015,66227,1429.86,46.1
20017,2692,773.06,3.6
20019,3481,638.88,5.7
20021,20787,587.57,36.8
20023,2693,1019.89,2.7
20025,2144,974.63,2.3
20027,8317,645.3,13.2
20029,9385,715.34,13.3
20031,8433,626.95,13.7
20033,1954,788.3,2.4
20035,35963,1125.75,32.3
20037,39290,589.76,66.4
20039,2908,893.52,3.3
20041,19394,847.07,23.3
20043,7874,393.41,20.2
20045,116585,455.87,243.1
20047,3030,621.89,4.9
20049,2694,644.27,4.5
20051,29013,899.91,31.6
20053,6392,715.85,9.1
20055,37184,1301.97,28.2
20057,34795,1098.27,30.8
20059,25611,571.76,45.5
20061,36713,384.62,89.3
20063,2727,1071.67,2.5
20065,2566,898.52,2.9
20067,7816,574.8,13.6
20069,6082,868.87,6.9
20071,1301,778.45,1.6
20073,6328,1143.3,5.9
20075,2603,996.51,2.7
20077,5818,801.27,7.5
20079,34820,539.75,64.3
20081,4106,577.52,7.4
20083,1916,859.99,2.2
20085,13539,656.22,20.5
20087,18855,532.57,35.9
20089,3043,909.78,3.4
20091,574272,473.38,1149.6
20093,3915,870.54,4.6
20095,7698,863.36,9.1
20097,2513,722.64,3.5
20099,20960,645.3,33.5
20101,1687,717.46,2.4
20103,78797,462.83,164.7
20105,3167,719.4,4.5
20107,9502,594.06,16.3
20109,2794,1072.99,2.6
20111,33212,847.47,39.8
20113,29241,898.27,32.5
20115,12208,944.29,13.4
20117,10006,900.18,11.2
20119,4357,978.09,4.7
20121,32822,575.66,57
20123,6284,701.79,9.1
20125,34065,643.53,55.1
20127,5698,695.28,8.5
20129,3110,729.73,4.4
20131,10148,717.43,14.2
20133,16416,571.47,28.9
20135,3105,1074.75,2.9
20137,5560,878.13,6.5
20139,15936,705.52,23.1
20141,3756,892.5,4.3
20143,6065,720.73,8.5
20145,6916,754.26,9.2
20147,5533,885.88,6.4
20149,22897,841.02,25.7
20151,9850,735.05,13.1
20153,2584,1069.42,2.4
20155,63794,1255.35,51.4
20157,4803,717.37,6.9
20159,10015,726.24,13.9
20161,75194,609.77,116.6
20163,5155,890.53,5.8
20165,3197,717.76,4.6
20167,6956,886.26,7.9
